[2026-07-15T06:04:11.060+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-07-15T06:04:11.075+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-07-15T06:02:00+00:00 [queued]>
[2026-07-15T06:04:11.079+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-07-15T06:02:00+00:00 [queued]>
[2026-07-15T06:04:11.079+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-07-15T06:04:11.085+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-07-15 06:02:00+00:00
[2026-07-15T06:04:11.090+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=25223) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-07-15T06:04:11.089+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2026-07-15T06:02:00+00:00', '--job-id', '82', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmp_gp735rv']
[2026-07-15T06:04:11.091+0000] {standard_task_runner.py:91} INFO - Job 82: Subtask download_minio
[2026-07-15T06:04:11.091+0000] {standard_task_runner.py:64} INFO - Started process 25237 to run task
[2026-07-15T06:04:11.118+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2026-07-15T06:02:00+00:00 [running]> on host 1b3af0dde868
[2026-07-15T06:04:11.162+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-07-15T06:02:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-07-15T06:02:00+00:00'
[2026-07-15T06:04:11.162+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-07-15T06:04:11.410+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1783903075.json -> /tmp/minio_downloads/1783903075.json
[2026-07-15T06:04:11.414+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1783903082.json -> /tmp/minio_downloads/1783903082.json
[2026-07-15T06:04:11.417+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1784067253.json -> /tmp/minio_downloads/1784067253.json
