[2026-07-15T19:43:01.321+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-07-15T19:43:01.337+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-07-15T19:41:00+00:00 [queued]>
[2026-07-15T19:43:01.340+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-07-15T19:41:00+00:00 [queued]>
[2026-07-15T19:43:01.341+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-07-15T19:43:01.347+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-07-15 19:41:00+00:00
[2026-07-15T19:43:01.353+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=5845) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-07-15T19:43:01.352+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2026-07-15T19:41:00+00:00', '--job-id', '248', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmp8ox11unu']
[2026-07-15T19:43:01.354+0000] {standard_task_runner.py:91} INFO - Job 248: Subtask download_minio
[2026-07-15T19:43:01.354+0000] {standard_task_runner.py:64} INFO - Started process 5859 to run task
[2026-07-15T19:43:01.381+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2026-07-15T19:41:00+00:00 [running]> on host 1b3af0dde868
[2026-07-15T19:43:01.426+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-07-15T19:41:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-07-15T19:41:00+00:00'
[2026-07-15T19:43:01.426+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-07-15T19:43:01.732+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1783903075.json -> /tmp/minio_downloads/1783903075.json
[2026-07-15T19:43:01.737+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1783903082.json -> /tmp/minio_downloads/1783903082.json
[2026-07-15T19:43:01.742+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1784067253.json -> /tmp/minio_downloads/1784067253.json
[2026-07-15T19:43:01.746+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1784067260.json -> /tmp/minio_downloads/1784067260.json
[2026-07-15T19:43:01.750+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1784067267.json -> /tmp/minio_downloads/1784067267.json
